PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Type of test::C,PROPERTY: Type of test::T,PROPERTY: Processing method::CAST,PROPERTY: Processing method::WROUGHT,PROPERTY: Processing method::ANNEAL,PROPERTY: Processing method::OTHER,PROPERTY: Processing method::POWDER,PROPERTY: Microstructure::BCC,PROPERTY: Microstructure::FCC,FORMULA::Al,FORMULA::Co,FORMULA::Fe,FORMULA::Ni,FORMULA::Si,FORMULA::Cr,FORMULA::Mn,FORMULA::Mo,FORMULA::Nb,FORMULA::Cu,FORMULA::Ti,FORMULA::V,FORMULA::Ta,FORMULA::Zr,FORMULA::Hf,FORMULA::W,FORMULA::Zn,FORMULA::Re,FORMULA::Mg
6,800,875,189,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6,1000,375,189,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6,1200,100,189,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6.5,600,520,151,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
6.5,800,500,151,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
6.5,1000,540,151,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
6.5,1200,200,151,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
8.1,25,1253,95,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0
8.1,25,1140,95,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0
8.1,25,1120,95,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0
10.4,60,795,122,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.578,0,1,0.416,0.26,0,0,0,0
10.4,100,765,122,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.578,0,1,0.416,0.26,0,0,0,0
10.4,200,650,122,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.578,0,1,0.416,0.26,0,0,0,0
10.4,300,590,122,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.578,0,1,0.416,0.26,0,0,0,0
10.4,25,845,122,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.578,0,1,0.416,0.26,0,0,0,0
8.4,-268.8,2250,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-268.8,2210,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-196,1880,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-196,1750,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-153,1640,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-153,1550,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-103,1380,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-103,1370,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-43,1200,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-43,1180,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,72,1040,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,72,1020,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,25,1150,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,25,1100,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-268.8,2390,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-196,1920,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-153,1370,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-103,1250,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,-43,1020,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,72,640,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
8.4,25,890,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.667,0,1,0,0.333,0.833,0.5,0,0,0,0
9,1000,368,126,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0.5,0,0,1,0,0,0,0
9,1200,60,126,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0.5,0,0,1,0,0,0,0
9,25,1260,126,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0.5,0,0,1,0,0,0,0
8.5,25,540,92,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.142,0,1,0,0.142,0.787,0.787,0,0,0,0
9.9,25,1900,107,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,830,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,1202,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,1145,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,958,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,944,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,940,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,940,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,905,107,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,890,107,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,828,107,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,827,107,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,820,107,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,803,107,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.3,25,1021,183,1,0,1,0,0,0,0,1,0,0.2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
8.7,25,962,173,1,0,1,0,0,0,0,1,0,0.6,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
9.6,25,1221,189,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
11.1,25,1315,105,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
10.2,25,1500,107,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
13.1,25,1109,242,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.25,0,1,0,0,1,0,0,0
12.6,25,1211,234,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,1,0,0,1,0,0,0
12.2,25,1304,228,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.75,0,1,0,0,1,0,0,0
11.8,25,1455,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
13.7,25,996,250,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
9.4,25,1400,171,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
11,600,973,209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
11,800,791.3,209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
11,1000,752.8,209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
11,1200,659,209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
11,25,1515,209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
11.8,600,689,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
11.8,800,674,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
11.8,1000,620,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
11.8,1200,586,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
11.8,25,1343,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
12.4,25,2612,229,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
9.2,25,965,134,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
11.1,25,1420,187,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0
12.9,25,1530,206,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
5.8,25,1240,134,1,0,1,0,0,0,0,1,0,0.25,0,0,0,0,0.5,0,0,0.5,0,1,0.25,0,0,0,0,0,0,0
5.6,600,1005,119,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0.5,0,0,1,0,1,1,0,0,0,0,0,0,0
5.6,800,640,119,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0.5,0,0,1,0,1,1,0,0,0,0,0,0,0
5.6,1000,40,119,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0.5,0,0,1,0,1,1,0,0,0,0,0,0,0
5.6,25,1300,119,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0.5,0,0,1,0,1,1,0,0,0,0,0,0,0
5.5,600,780,104,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5.5,800,560,104,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5.5,1000,110,104,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5.5,25,1000,104,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
8,25,370,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7.6,25,159,210,0,1,0,1,0,0,0,0,1,0.304,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,25,263,210,0,1,0,1,0,0,0,0,1,0.304,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,25,350,234,0,1,1,0,0,0,0,0,1,0,1,0.571,0.571,0,0.429,0,0.286,0,0,0,0,0,0,0,0,0,0,0
8.6,25,350,234,0,1,0,1,0,0,0,0,1,0,1,0.571,0.571,0,0.429,0,0.286,0,0,0,0,0,0,0,0,0,0,0
8.2,25,155,226,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,243,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,25,249,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.2,25,190,226,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.8,25,210,214,0,1,0,0,1,0,0,0,1,0.167,1,1,1,0,1,0,0,0,0,0.083,0,0,0,0,0,0,0,0
8,25,230,220,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,25,719,209,0,1,0,1,0,0,0,0,1,0.108,0.514,0.514,1,0,0.514,0,0,0,0.108,0,0,0,0,0,0,0,0,0
7.6,25,1290,189,0,1,0,1,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.6,700,180,189,0,1,0,1,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.9,25,700,218,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0
7.9,-196,860,218,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0
8,25,1198,220,0,1,0,1,0,0,0,0,1,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,1403,220,0,1,0,1,0,0,0,0,1,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,711,220,0,1,0,1,0,0,0,0,1,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,356,220,0,1,0,1,0,0,0,0,1,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,1120,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,-196,1692,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7.3,25,441,196,0,1,1,0,0,0,0,0,1,0.25,0,0.417,1,0,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,25,1100,231,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,25,597,231,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,25,346,231,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,210,220,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,25,1150,220,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,25,1300,220,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.2,25,1108,134,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
9.2,25,1308,134,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
9.2,25,1373,134,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
8,25,300,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,25,800,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.2,20,446,226,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,-73,488,226,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,-196,590,226,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,-268.8,680,226,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,216,220,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1,25,225,221,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.042,0,0,0,0,0,0,0,0,0,0,0
8,25,378.7,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.6,25,1100,231,0,1,0,1,0,0,0,0,1,0,1,0.176,1,0,0.588,0,0.176,0,0,0,0,0,0,0,0,0,0,0
8.6,25,950,231,0,1,0,1,0,0,0,0,1,0,1,0.176,1,0,0.588,0,0.176,0,0,0,0,0,0,0,0,0,0,0
8.6,25,649,231,0,1,0,1,0,0,0,0,1,0,1,0.176,1,0,0.588,0,0.176,0,0,0,0,0,0,0,0,0,0,0
8.6,25,439,231,0,1,0,1,0,0,0,0,1,0,1,0.176,1,0,0.588,0,0.176,0,0,0,0,0,0,0,0,0,0,0
8.6,25,309,231,0,1,0,1,0,0,0,0,1,0,1,0.176,1,0,0.588,0,0.176,0,0,0,0,0,0,0,0,0,0,0
8,25,386.2,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7.6,25,159,210,0,1,0,1,0,0,0,0,1,0.3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,25,214,219,0,1,0,1,0,0,0,0,1,0,0.5,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,25,241,220,0,1,0,1,0,0,0,0,1,0,0.875,1,1,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,25,299,222,0,1,0,1,0,0,0,0,1,0,1,0.667,0.667,0,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,1290,220,0,1,0,1,0,0,0,1,0,0,0.986,0.933,1,0,0.952,0.914,0,0,0,0,0,0,0,0,0,0,0,0
8,25,270,220,0,1,0,1,0,0,0,0,1,0,0.986,0.933,1,0,0.952,0.914,0,0,0,0,0,0,0,0,0,0,0,0
9.1,23,1841,107,1,0,0,0,0,1,0,1,0,0.4,0,0,0,0,0,0,0,1,0,1,0,1,1,0.6,0,0,0,0
6,23,1100,189,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6.5,23,1100,151,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
9,23,1260,126,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0.5,0,0,1,0,0,0,0
9.9,23,1512,137,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0
8.7,23,1575,128,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
10.2,23,1600,143,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
9.9,23,929,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
11,23,1515,209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
11.8,23,1343,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
12.4,23,1246,229,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
13.7,23,996,250,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
7.7,23,1100,177,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
7.4,23,882,101,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.3,1,0,0,0,0,0
6.5,23,975,94,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
9.1,1000,298,107,1,0,0,0,0,1,0,1,0,0.4,0,0,0,0,0,0,0,1,0,1,0,1,1,0.6,0,0,0,0
6,1000,375,189,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6.5,1000,540,151,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
9,1000,368,126,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0.5,0,0,1,0,0,0,0
9.9,1000,814,137,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0
8.7,1000,635,128,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
10.2,1000,855,143,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
9.9,1000,295,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
11,1000,753,209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
11.8,1000,620,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
12.4,1000,842,229,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
13.7,1000,548,250,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
7.7,1000,504,177,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
7.4,1000,274,101,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.3,1,0,0,0,0,0
6.5,1000,141,94,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
9.1,1200,89,107,1,0,0,0,0,1,0,1,0,0.4,0,0,0,0,0,0,0,1,0,1,0,1,1,0.6,0,0,0,0
6,1200,100,189,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6.5,1200,200,151,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
9,1200,60,126,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0.5,0,0,1,0,0,0,0
9.9,1200,556,137,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0
8.7,1200,187,128,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
10.2,1200,404,143,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
9.9,1200,92,107,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
11,1200,659,209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
11.8,1200,586,222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
12.4,1200,735,229,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
13.7,1200,506,250,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
7.7,1200,324,177,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
7.4,1200,102,101,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.3,1,0,0,0,0,0
6.5,1200,61,94,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
8,25,293.1,220,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.9,25,985,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,972,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,967,107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
8.5,25,276,207,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,25,217,207,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,25,201,207,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,25,1719,128,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
8.1,25,529,203,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1,25,522,203,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1,25,460,203,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1,25,407,203,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
