PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Type of test::C,PROPERTY: Type of test::T,PROPERTY: Processing method::CAST,PROPERTY: Processing method::WROUGHT,PROPERTY: Processing method::ANNEAL,PROPERTY: Processing method::OTHER,PROPERTY: Processing method::POWDER,PROPERTY: Microstructure::BCC,PROPERTY: Microstructure::FCC,FORMULA::Al,FORMULA::Co,FORMULA::Fe,FORMULA::Ni,FORMULA::Si,FORMULA::Cr,FORMULA::Mn,FORMULA::Mo,FORMULA::Nb,FORMULA::Cu,FORMULA::Ti,FORMULA::V,FORMULA::Ta,FORMULA::Zr,FORMULA::Hf,FORMULA::W,FORMULA::Zn,FORMULA::Re,FORMULA::Mg
8.1,800,362,110,1,0,0,0,0,1,0,1,0,0.214,0,0,0,0,0,0,0,0.714,0,1,0,0.714,0.929,0,0,0,0,0
8.1,1000,236,110,1,0,0,0,0,1,0,1,0,0.214,0,0,0,0,0,0,0,0.714,0,1,0,0.714,0.929,0,0,0,0,0
9.1,25,1841,107,1,0,0,0,0,1,0,1,0,0.4,0,0,0,0,0,0,0,1,0,1,0,1,1,0.6,0,0,0,0
9.1,800,796,107,1,0,0,0,0,1,0,1,0,0.4,0,0,0,0,0,0,0,1,0,1,0,1,1,0.6,0,0,0,0
9.1,1000,298,107,1,0,0,0,0,1,0,1,0,0.4,0,0,0,0,0,0,0,1,0,1,0,1,1,0.6,0,0,0,0
7.6,25,2035,109,1,0,0,0,0,1,0,1,0,0.333,0,0,0,0,0,0,0,0.667,0,1,0.133,0.533,0.667,0,0,0,0,0
7.6,800,796,109,1,0,0,0,0,1,0,1,0,0.333,0,0,0,0,0,0,0,0.667,0,1,0.133,0.533,0.667,0,0,0,0,0
7.6,1000,220,109,1,0,0,0,0,1,0,1,0,0.333,0,0,0,0,0,0,0,0.667,0,1,0.133,0.533,0.667,0,0,0,0,0
6.8,25,1280,105,1,0,0,0,0,1,0,1,0,0.667,0,0,0,0,0,0,0,1,0,1,0,0.333,0.333,0,0,0,0,0
6.8,800,728,105,1,0,0,0,0,1,0,1,0,0.667,0,0,0,0,0,0,0,1,0,1,0,0.333,0.333,0,0,0,0,0
6.8,1000,403,105,1,0,0,0,0,1,0,1,0,0.667,0,0,0,0,0,0,0,1,0,1,0,0.333,0.333,0,0,0,0,0
9.5,25,1188,105,1,0,1,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.3,25,1302,104,1,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.1,25,1415,103,1,0,1,0,0,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,1073,107,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
7.1,25,1250,161,1,0,1,0,0,0,0,1,0,0.25,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
