type,original_scores,original_scores_std,scores,scores_std,dcc_pearson,dcc_spearman,dcc_kendall,dcc_mi,dcc_js,dcc_wd,dcc_xi,dcc_dcor,perturbation_type,dataset,ptb_ratio,corr_max_pearson,corr_max_spearman,corr_max_kendall,corr_max_mi,corr_max_js,corr_max_wd,corr_max_xi,corr_max_dcor,corr_cnt_good_pearson,corr_cnt_good_spearman,corr_cnt_good_kendall,corr_cnt_good_mi,corr_cnt_good_js,corr_cnt_good_wd,corr_cnt_good_xi,corr_cnt_good_dcor,scores_ratio,scores_std_ratio
regression,0.7777327177940511,0.03003227637869842,0.7681174941903011,0.04074121808458751,0.9862068965517241,1.0,1.0,1.0,0.9839080459770115,0.9770114942528736,0.12643678160919541,0.9977011494252873,Deletion,MPEA,0.05,0.43478635134043164,0.4396548348243664,0.3479654830735996,0.14596255830203617,0.750889492708923,0.8679645869885568,0.35642228607661264,0.43932527753467454,0.0,0.0,0.0,0.0,0.39285714285714285,0.5714285714285714,0.0,0.0,0.9876368534025128,1.3565810853247486
regression,0.7777327177940511,0.03003227637869842,0.7320171754167769,0.05418004758786001,0.6275862068965518,0.43448275862068964,0.4482758620689655,0.1839080459770115,0.37701149425287356,0.36551724137931035,0.5,0.6758620689655173,AdditionLinear,MPEA,0.05,0.3815864395266244,0.40521100171950847,0.3162297092466755,0.13433942798419438,0.6126870811509757,0.7891158941466593,0.36938800486913836,0.4182414608882256,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.9412194686794957,1.8040606347872237
regression,0.7777327177940511,0.03003227637869842,0.7361812938682591,0.05341866650310512,0.6183908045977011,0.367816091954023,0.38620689655172413,0.16551724137931034,0.45517241379310347,0.3793103448275862,0.5160919540229885,0.6735632183908046,AdditionRand,MPEA,0.05,0.37541952590894995,0.37383850589951534,0.2928674666899206,0.14403551584978175,0.6126352015743154,0.7975187284104708,0.393667629619452,0.4143167023061432,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.9465736454502677,1.7787085410879615
regression,0.7777327177940511,0.03003227637869842,0.7405233541598222,0.03785050467533211,0.5885057471264368,0.35172413793103446,0.3632183908045977,0.1724137931034483,0.38850574712643676,0.367816091954023,0.506896551724138,0.6252873563218391,ReplacementLinear,MPEA,0.05,0.38174946382694946,0.37924952185453714,0.29913018424152654,0.13850554465004733,0.6061319795947425,0.7849756379241204,0.38236705658410186,0.4192967664207669,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.9521566178419638,1.2603275288908529
regression,0.7777327177940511,0.03003227637869842,0.6569084740927297,0.05817775334069066,0.5494252873563218,0.35402298850574715,0.36551724137931035,0.19770114942528735,0.4091954022988506,0.38850574712643676,0.47011494252873565,0.5908045977011495,ReplacementRand,MPEA,0.05,0.3616075330950643,0.3717739379905946,0.2914009020318796,0.13664870963996734,0.616099768451408,0.808845237835258,0.39551227290221513,0.4043226667170204,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.8446455434663654,1.937174279001892
regression,0.7777327177940511,0.03003227637869842,0.7614267053542737,0.060309700789602426,0.9885057471264368,0.9954022988505747,0.9954022988505747,0.9977011494252873,0.993103448275862,0.9977011494252873,0.1310344827586207,0.9885057471264368,Deletion,MPEA,0.06,0.4413616008240917,0.45309305295092006,0.3507329475680352,0.14447249702504678,0.761601829830028,0.8678237261682578,0.36007012930089854,0.4353016272922897,0.0,0.0,0.0,0.0,0.42857142857142855,0.6071428571428571,0.0,0.0,0.9790339122082616,2.0081628188657543
regression,0.7777327177940511,0.03003227637869842,0.7237526805284645,0.05463586411211924,0.5379310344827586,0.3425287356321839,0.35172413793103446,0.15402298850574714,0.3471264367816092,0.2942528735632184,0.4632183908045977,0.5770114942528736,AdditionLinear,MPEA,0.06,0.3745720702738581,0.3723264302249659,0.2927030484660418,0.13337847053825494,0.591222600263011,0.7673829680291815,0.390411209338674,0.4141161203071445,0.0,0.0,0.0,0.0,0.21428571428571427,0.5,0.0,0.0,0.9305930739050111,1.8192381897121819
regression,0.7777327177940511,0.03003227637869842,0.6608648713418894,0.0676215574531135,0.542528735632184,0.36091954022988504,0.3816091954022989,0.20229885057471264,0.35402298850574715,0.29195402298850576,0.4839080459770115,0.5954022988505747,AdditionRand,MPEA,0.06,0.3501432302826611,0.3776621069333263,0.2954742741081993,0.1410076791502146,0.5917120424356997,0.7596551954438903,0.371982265134862,0.4031440594680532,0.0,0.0,0.0,0.0,0.21428571428571427,0.4642857142857143,0.0,0.0,0.8497326346464583,2.251629433627508
regression,0.7777327177940511,0.03003227637869842,0.7466399140757451,0.05109099136141575,0.5333333333333333,0.33793103448275863,0.3448275862068966,0.1425287356321839,0.3333333333333333,0.2988505747126437,0.38045977011494253,0.5632183908045977,ReplacementLinear,MPEA,0.06,0.37058411234698047,0.36304588988357905,0.28285793661075187,0.15192070617636805,0.5866471486751145,0.7771201131466966,0.3694238847844217,0.41522073726866077,0.0,0.0,0.0,0.0,0.21428571428571427,0.5,0.0,0.0,0.9600212219353493,1.7012027565667334
regression,0.7777327177940511,0.03003227637869842,0.6987923110479538,0.04781332427870766,0.5494252873563218,0.32873563218390806,0.3448275862068966,0.16551724137931034,0.37471264367816093,0.2896551724137931,0.4793103448275862,0.5954022988505747,ReplacementRand,MPEA,0.06,0.3717725997359047,0.3666408806140289,0.2824149504824054,0.1497903283981264,0.5987710860002706,0.7828629688825237,0.38156265917802623,0.4175351824386098,0.0,0.0,0.0,0.0,0.25,0.4642857142857143,0.0,0.0,0.898499310958651,1.592064606618403
