dataset,perturbation_type,perturbation_ratio,SHAP_feat,SHAP_feat_ratio,max_shap_feat,feat,DCC_pearson_matrix,Corr_pearson_matrix,DCC_spearman_matrix,Corr_spearman_matrix,DCC_kendall_matrix,Corr_kendall_matrix,DCC_mutual_info_matrix,Corr_mutual_info_matrix,DCC_js_corr_matrix,Corr_js_corr_matrix,DCC_wd_corr_matrix,Corr_wd_corr_matrix,DCC_xi_matrix,Corr_xi_matrix,DCC_dcor_matrix,Corr_dcor_matrix
Crystal_structure.csv,ReplacementRand,0.08,0.008745842898529733,0.1985350254933711,τ,v(A),0.5714285714285714,-0.09497505166543886,0.5714285714285714,-0.01811825738736585,0.7142857142857143,-0.015924852950581343,0.9285714285714286,0.07095016520582638,0.9285714285714286,0.32525404449170786,1.0,0.6175598682171434,0.5714285714285714,0.2577344319405013,0.7142857142857143,0.14063424445200323
Crystal_structure.csv,ReplacementRand,0.08,0.010593605962407444,0.24048017489164594,τ,v(B),0.6428571428571429,0.09033643241361031,0.7857142857142857,0.037055397140870416,0.9285714285714286,0.033674577143485346,0.9285714285714286,0.06424102450050159,0.9285714285714286,0.3779931120207916,1.0,0.35468337219676127,0.8571428571428571,0.25526664318481307,0.7857142857142857,0.14248172730627037
Crystal_structure.csv,ReplacementRand,0.08,0.013018570945348949,0.2955280976927471,τ,r(AXII)(Å),0.6428571428571429,0.1988650053600511,0.6428571428571429,0.18728823609061254,0.7857142857142857,0.1520755177100371,0.7142857142857143,0.04256727762871447,1.0,0.36176744900059066,1.0,0.32311852160189325,0.5714285714285714,0.45136163607084345,0.7142857142857143,0.19086645400101485
Crystal_structure.csv,ReplacementRand,0.08,0.014916640752978445,0.33861523543555627,τ,r(AVI)(Å),0.6428571428571429,0.28225606898109973,0.7142857142857143,0.24046772325909546,0.7142857142857143,0.19839752925891802,0.7857142857142857,0.06474372297192957,0.9285714285714286,0.2718196635899222,1.0,0.44942564918188466,0.2857142857142857,0.46628907189746016,0.6428571428571429,0.24665503667879865
Crystal_structure.csv,ReplacementRand,0.08,0.0168669405118898,0.38288801929956484,τ,r(BVI)(Å),0.5714285714285714,-0.1055744468552685,0.9285714285714286,-0.12595652491387985,0.9285714285714286,-0.10247726651479741,0.7857142857142857,0.028026410576300422,1.0,0.32260812715841736,1.0,0.4057151741974424,0.7142857142857143,0.12248525436165292,0.7857142857142857,0.15934264760292885
Crystal_structure.csv,ReplacementRand,0.08,0.0330736670115366,0.7507888489968811,τ,EN(A),0.6428571428571429,0.09696157460812645,0.6428571428571429,-0.07528151868863026,0.8571428571428571,-0.06920033915719472,0.7857142857142857,0.09773544115065667,0.8571428571428571,0.3367871871378754,0.9285714285714286,0.513750113132182,0.5714285714285714,0.48008806954658767,0.8571428571428571,0.18657507064846152
Crystal_structure.csv,ReplacementRand,0.08,0.04120930359838055,0.9354718848018576,τ,EN(B),0.9285714285714286,-0.05574329566180123,1.0,-0.05962283812545173,1.0,-0.0494378617561337,0.7857142857142857,0.040734670128131735,1.0,0.4115562763520778,1.0,0.4475209362936755,0.8571428571428571,0.1006722900524889,1.0,0.15039677451948724
Crystal_structure.csv,ReplacementRand,0.08,0.018537118823358546,0.4208019056445467,τ,l(A-O)(Å),0.5,0.2699923905448069,0.6428571428571429,0.25168015791467646,0.7142857142857143,0.20560297229441213,0.7857142857142857,0.06900618632816591,1.0,0.2646133521383157,1.0,0.420210293045457,0.5714285714285714,0.4894504703876741,0.6428571428571429,0.2547729876214222
Crystal_structure.csv,ReplacementRand,0.08,0.015654366523374614,0.3553619808701607,τ,l(B-O)(Å),0.9285714285714286,-0.08127387380741563,1.0,-0.08609136691906957,1.0,-0.06910547495970584,0.8571428571428571,0.034249375573357665,1.0,0.2286958778544088,1.0,0.46259574322405994,0.8571428571428571,0.09577713626799744,0.9285714285714286,0.1149295177090757
Crystal_structure.csv,ReplacementRand,0.08,0.023132634460305414,0.5251224182265657,τ,ΔENR,0.42857142857142855,-0.17011334216534027,0.6428571428571429,-0.14764288499452943,0.6428571428571429,-0.11791687455544975,0.9285714285714286,0.059326431564828766,0.8571428571428571,0.5568843301709371,1.0,0.43902311926187576,0.5,0.3593960512746506,0.5714285714285714,0.17102042751671137
Crystal_structure.csv,ReplacementRand,0.08,0.03497663920192319,0.793987273289992,τ,tG,0.2857142857142857,0.3512087051997674,0.6428571428571429,0.35050122345773527,1.0,0.28251434565502426,1.0,0.07457547696634288,1.0,0.3153861183348423,1.0,0.3637616467480488,0.7142857142857143,0.26050793839554565,0.7857142857142857,0.3375469082774125
Crystal_structure.csv,ReplacementRand,0.08,0.04405188896415534,1.0,τ,τ,0.35714285714285715,-0.1585602549703248,0.8571428571428571,-0.26226829301499366,0.9285714285714286,-0.20648714627456405,1.0,0.08604783070638283,0.6428571428571429,0.6396902593324794,1.0,0.4692857095979073,0.7142857142857143,0.22335351050565244,0.7142857142857143,0.2660356570782355
Crystal_structure.csv,ReplacementRand,0.08,0.015816203258549804,0.35903575602443105,τ,μ,0.7142857142857143,-0.09570589262122518,0.8571428571428571,-0.12295420059510735,0.9285714285714286,-0.10042701011291699,0.8571428571428571,0.03108564531587376,1.0,0.32359764282444725,1.0,0.4066823792932935,0.6428571428571429,0.11272583456645091,0.8571428571428571,0.15501590434730916
Glass.csv,Deletion,0.08,0.036106550701620624,0.6086094089661093,Mg,RI,0.9,-0.17298620066119266,0.9,-0.20541024310570558,1.0,-0.14964900293166364,1.0,0.11075176960352731,1.0,0.3696092383612486,1.0,0.31627521894040433,1.0,0.26736029856768206,1.0,0.22523671078877108
Glass.csv,Deletion,0.08,0.027912898158629806,0.47049779391118596,Mg,Na,0.9,0.5203205020374263,0.7,0.4375534290102431,0.9,0.33174094844283875,1.0,0.2252823468794146,1.0,0.48420184714224956,1.0,0.3324674638472914,1.0,0.2192727456122655,1.0,0.6030595290925427
Glass.csv,Deletion,0.08,0.05932631038839433,1.0,Mg,Mg,1.0,-0.7271054359486845,0.9,-0.5934028745775018,1.0,-0.45519820558817875,0.6,0.35720458589484866,0.8,0.410437559227866,1.0,0.7854756652946794,0.5,0.2988556586645148,1.0,0.7178525131143321
